iteration,elapsed_seconds,cave_volume_fraction,void_voxel_count,porous_voxel_count,mean_porosity,mean_solid_fraction,mean_effective_permeability,max_effective_permeability,mean_water_flux,max_water_flux,connected_components,largest_component_size
22,1.8957,0.0,0,969,0.0748006801373946,0.944779448543908,0.12313681332636184,0.3828652976522607,0.005132514334116138,0.058293066886436755,0,0
23,1.9234,0.0,0,1091,0.07569759956449486,0.9434340694032577,0.1237033265257648,0.3946667047911201,0.005167542231715338,0.05855855101030456,0,0
24,1.9506,0.0,0,1195,0.07660288977588295,0.9420761340861755,0.12427532629165915,0.4067633033866069,0.0052030071191189395,0.05882524422856028,0,0
25,1.9805,0.0,0,1315,0.07751666175833881,0.9407054761124918,0.12485288612470384,0.4191609535649928,0.005238915254839244,0.05909315204778266,0,0
26,2.0101,0.0,0,1412,0.07843902810328249,0.9393219265950764,0.12543608059324793,0.43186561311477717,0.005275272988558993,0.059362279999629085,0,0
27,2.0376,0.0,0,1507,0.07937010303020524,0.9379253142046922,0.12602498534899842,0.4448833391849649,0.005312086762329708,0.05963263364094975,0,0
28,2.0657,0.0,0,1599,0.08031000241041228,0.9365154651343816,0.12661967714289746,0.45822029001353265,0.005349363111786511,0.0599226246995891,0,0
29,2.0965,2.604166666666667e-05,1,1673,0.08125884379108148,0.9350922030633778,0.1272202338412118,0.47188272668622866,0.005387108667379668,0.06138502538873006,1,1
30,2.1245,0.00013020833333333333,5,1757,0.0822168826718184,0.9336551447422725,0.127826833236372,0.4858770149258576,0.005425330155623045,0.06287602712944995,2,4
31,2.6233,0.00026041666666666666,10,1828,0.08318478209212786,0.9322032956118083,0.12843995047134057,0.5002048927408117,0.005464041843767264,0.06437483770338474,2,7
32,2.656,0.0004427083333333333,17,1893,0.0841628994020841,0.9307361196468737,0.12905983420664435,0.5173172363085206,0.00550328276059348,0.06590175485400657,4,9
33,2.6859,0.0006510416666666666,25,1944,0.08515157538427834,0.9292531056735824,0.1296867074186153,0.5358980864371824,0.005543071847628506,0.06785290044930486,5,12
34,2.7176,0.0011979166666666666,46,1999,0.08615119296501272,0.927753679302481,0.1303208287942743,0.5550092758628965,0.005583425563946336,0.06984680047811,8,17
35,2.7501,0.0018229166666666667,70,2045,0.08716411351303113,0.9262342984804532,0.13096385606855493,0.5772761074070134,0.00562437055270349,0.07190575091346092,14,22
36,2.7834,0.002890625,111,2097,0.08819098364739418,0.9246939932789087,0.13161620509524802,0.6002474320697084,0.005666027414380765,0.07435941535718414,8,32
37,2.8127,0.004036458333333334,155,2144,0.089234640963537,0.9231285073046945,0.13227987313454664,0.6239346417590734,0.005708436118478633,0.07686756843494388,11,43
38,2.8434,0.005130208333333333,197,2193,0.09029580389971277,0.9215367629004309,0.13295527068902757,0.6483593422639831,0.005751769189072438,0.0794485269726657,12,50
39,2.8742,0.006276041666666667,241,2227,0.09137487993156335,0.9199181488526551,0.13364264173862297,0.6735254068919739,0.005796020313369323,0.08207529264220045,8,54
40,2.9062,0.007317708333333333,281,2258,0.0924721119606255,0.918276158523669,0.1343421139500579,0.6994445824111416,0.0058412652819789775,0.08475348702725356,11,92
41,4.23,0.00859375,330,2285,0.09358724146387831,0.9166117657211229,0.1350535397586818,0.7261298424331183,0.00588748496033552,0.0874879074375741,9,107
