anastomosis_count,branch_persistence_diameters_median,branch_persistence_length_median_m,breakout_event_count,centerline_displacement_mean_m,centerline_displacement_mean_passage_widths,centerline_displacement_p95_m,chamber_count,coalescence_flux_return_ratio,condition_id,connected_component_count,cyclomatic_number,distinct_z_level_count,edge_count,elapsed_s,emplacement_phase_count,entries_without_exit_path_count,experiment_name,experiment_schema_version,failure_reason,git_commit,git_dirty,independent_braid_or_island_count,input_dataset_id,input_dataset_sha256_or_version,lava_age_monotonicity_violation_count,length_weighted_mean_sinuosity,lobe_path_count,main_route_length_m,max_absolute_flux_conservation_residual,max_branch_factor,max_relative_flux_conservation_residual,mean_branch_factor,mean_branch_flux_fraction,mean_breakout_score,merge_junction_count,model_schema_version,network_density,node_count,platform,process_chamber_segment_count,provenance_sha256,python_version,resolved_config_sha256,retired_lobe_count,routing_enabled,run_id,seed,sinuosity_p95,source_count,source_unreachable_node_count,split_junction_count,split_merge_nodes_exceeding_tolerance,split_merge_region_count,stacked_segment_count,started_at_utc,status,temperature_monotonicity_violation_count,terminal_count,total_centerline_length_m,underpass_count,vertical_capture_count,vertically_overlapping_xy_passage_count,zero_flux_segment_count
10,9.630597536628859,90.7924956109066,12,9.204560327496774,0.9652667915103375,46.405260638592,11,0.5192391551414272,unconditioned,1,19,2,71,28.389414862991543,5,0,host_ablation,1,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,12,,,0,1.0447657119215197,12,5231.833622676352,4.440892098500626e-16,2,2.3406039925925505e-16,2.0,0.35702733842718976,3.19758364685703,22,1,3.0,53,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,5,576e1c44642399c739b07c613e5e1158a56e52421ec644bc76e0b493b58fb606,3.13.5,6854a6105bbfb6f9c8b4b1ca81c04983762448ec0e29d3040c824604f2ca314a,3,False,seed-000002-unconditioned,2,1.103089966503295,8,0,22,0,18,6,2026-09-07T09:09:00.414791+00:00,complete,0,10,9315.494598577872,0,6,18,0
11,7.184418556478636,59.06855649017273,13,0.0,0.0,0.0,12,0.4456040857663379,full,1,10,3,56,28.065562894014874,5,0,host_ablation,1,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,13,,,0,1.047840626245398,13,5298.841193098364,8.881784197001252e-16,2,2.120223036372523e-16,2.0,0.37535586316143654,3.674027570283537,15,1,3.0,47,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,7,576e1c44642399c739b07c613e5e1158a56e52421ec644bc76e0b493b58fb606,3.13.5,63b3813fdb6f5073b6709e5364c8a4345f4dfe358638647417fc2a0e54d671e0,5,True,seed-000003-full,3,1.1746792042817416,8,0,15,0,17,7,2026-09-07T09:06:10.945117+00:00,complete,0,14,10362.326220401043,0,4,16,0
10,10.606689127804373,98.42282044938779,12,4.394972706690841,0.5180527876243705,23.87897127394447,11,0.4852411122299463,no_capacity,1,10,3,54,28.138128904014593,5,0,host_ablation,1,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,12,,,0,1.0379087645711815,12,5320.68321354933,8.881784197001252e-16,2,2.216395983813077e-16,2.0,0.31905493022386316,3.6450608788839265,15,1,3.0,45,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,5,576e1c44642399c739b07c613e5e1158a56e52421ec644bc76e0b493b58fb606,3.13.5,613185b2bce79a19674eb486a5fcd263fd7356e548e11da8513301b9eb167392,4,True,seed-000003-no_capacity,3,1.204604170398927,8,0,14,0,18,5,2026-09-07T09:08:03.512757+00:00,complete,0,13,10246.782289650848,0,2,12,0
6,14.07517486184075,112.18334394518175,13,3.870169555009813,0.45619216781471555,24.364285706896304,11,0.36001299794941544,no_cover,1,8,3,54,28.152495504997205,5,0,host_ablation,1,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,13,,,0,1.0326255070953128,13,5294.543358331088,4.440892098500626e-16,2,2.1542284801443946e-16,2.0,0.3550458554846954,3.609154003539914,13,1,3.0,47,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,4,576e1c44642399c739b07c613e5e1158a56e52421ec644bc76e0b493b58fb606,3.13.5,b4d761342e2a149854801b25e9eba07607aa67c8f799b0d436fd41d553fbdbb8,9,True,seed-000003-no_cover,3,1.1544072757595905,8,0,15,0,15,7,2026-09-07T09:07:07.304821+00:00,complete,0,16,10162.01568653428,0,3,15,0
10,9.25468982947044,92.5468982947044,11,7.6062054970288635,0.8965734770049384,42.278171659467255,9,0.5113816663572414,no_fracture,1,9,3,54,28.055369231995428,5,0,host_ablation,1,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,11,,,0,1.0469693278005727,11,5305.050156188245,4.440892098500626e-16,2,1.815721338874931e-16,2.0,0.34550272501088486,3.745623234871653,15,1,3.0,46,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,3,576e1c44642399c739b07c613e5e1158a56e52421ec644bc76e0b493b58fb606,3.13.5,918260cc7b1bab69546c80e71019503deb191618e557d45b83bf0a2811d95650,3,True,seed-000003-no_fracture,3,1.1594007562034647,8,0,12,0,18,7,2026-09-07T09:07:35.457353+00:00,complete,0,12,10186.444366029973,0,7,17,0
11,6.857966684975857,68.57966684975857,11,8.393332879976965,0.9893552898091342,41.80203620664301,8,0.46876961702711595,no_slope,1,15,3,65,28.293995733984048,5,0,host_ablation,1,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,11,,,0,1.0426344493364834,11,5354.873110474521,8.881784197001252e-16,2,2.245400095040781e-16,2.0,0.3678032148609656,3.5659222756111535,20,1,3.0,51,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,4,576e1c44642399c739b07c613e5e1158a56e52421ec644bc76e0b493b58fb606,3.13.5,1a5e76ddd9e736fa5f8c466e5fb5b73208e7fdd6a17f3d42b03d97853e3e4c87,3,True,seed-000003-no_slope,3,1.0992755689510316,8,0,18,0,16,7,2026-09-07T09:06:39.010787+00:00,complete,0,12,9852.585343518149,0,6,18,0
11,9.383592822069613,93.83592822069613,12,6.374037734784109,0.7513329973359756,36.63986374974607,13,0.5560824616560357,no_stability,1,11,3,56,28.087771710008383,5,0,host_ablation,1,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,12,,,0,1.0451298303498684,12,5313.014066479736,8.881784197001252e-16,2,1.9218540614541808e-16,2.0,0.3699010910366834,3.7322004213513638,17,1,3.0,46,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,5,576e1c44642399c739b07c613e5e1158a56e52421ec644bc76e0b493b58fb606,3.13.5,ae5ffde950888112357eaa04f5151a705d9c0705ae89162610ac123171494b98,3,True,seed-000003-no_stability,3,1.2074702001507909,8,0,14,0,19,7,2026-09-07T09:08:31.650920+00:00,complete,0,12,9659.47876196179,0,7,19,0
10,9.64915693519299,90.21958052227141,13,17.878938051985678,2.1074610277997685,76.74288487807294,10,0.414553288165796,unconditioned,1,14,3,70,28.189334373979364,5,0,host_ablation,1,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,13,,,0,1.0497753205337232,13,5294.545611627666,8.881784197001252e-16,2,2.108890404557058e-16,2.0,0.29400517486111616,3.4753743988449246,19,1,3.0,57,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,6,576e1c44642399c739b07c613e5e1158a56e52421ec644bc76e0b493b58fb606,3.13.5,a445214decd1c8d65988d18f763037a54981c8333781ae246cc704b684c6b465,5,False,seed-000003-unconditioned,3,1.2203309809577374,8,0,19,0,18,7,2026-09-07T09:08:59.738733+00:00,complete,0,14,10304.688853208067,0,3,15,0
11,9.507704981432617,94.25838116677266,12,0.0,0.0,0.0,11,0.5434674210150721,full,1,16,3,69,27.933317624003394,4,0,host_ablation,1,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,12,,,0,1.0540924509079472,12,5406.586977493437,8.881784197001252e-16,2,2.1691973743112315e-16,2.0,0.3624350204396018,3.7285966208599945,21,1,3.0,54,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,4,576e1c44642399c739b07c613e5e1158a56e52421ec644bc76e0b493b58fb606,3.13.5,995c44ccca513c6e40121ba8887d81f9d310479a94ae92e701e6edb31f946b9b,3,True,seed-000004-full,4,1.216399015212429,8,0,19,0,20,6,2026-09-07T09:09:27.229176+00:00,complete,0,12,9565.868412747472,0,4,16,0
12,9.348754395295938,88.19622321754326,14,4.557976331985884,0.4916783030979097,17.222422252033056,7,0.5916308689052154,no_capacity,1,14,3,70,28.290511319006328,4,0,host_ablation,1,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,14,,,0,1.0433158246668643,14,5413.640057999055,1.7763568394002505e-15,2,2.2204460492503126e-16,2.0,0.30863383620367724,3.5504294835914725,19,1,3.0,57,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,2,576e1c44642399c739b07c613e5e1158a56e52421ec644bc76e0b493b58fb606,3.13.5,62c6a0d6321aae7b5d2888e240b9c8e1c56164187d38ccbccc7f2a9cf9e153c4,4,True,seed-000004-no_capacity,4,1.2005323492388953,8,0,18,0,23,8,2026-09-07T09:11:19.683945+00:00,complete,0,13,9883.289086575327,0,7,21,0
