anastomosis_count,branch_persistence_diameters_median,branch_persistence_length_median_m,breakout_event_count,chamber_count,coalescence_flux_return_ratio,condition_id,connected_component_count,control,control_value,cyclomatic_number,distinct_z_level_count,edge_count,elapsed_s,emplacement_phase_count,entries_without_exit_path_count,experiment_name,experiment_schema_version,failure_reason,git_commit,git_dirty,host_horizontal_scale,independent_braid_or_island_count,input_dataset_id,input_dataset_sha256_or_version,junction_to_passage_width_ratio,lava_age_monotonicity_violation_count,length_weighted_mean_sinuosity,lobe_path_count,main_route_length_m,max_absolute_flux_conservation_residual,max_branch_factor,max_relative_flux_conservation_residual,mean_branch_factor,mean_branch_flux_fraction,mean_breakout_score,merge_junction_count,model_schema_version,network_density,node_count,platform,process_chamber_segment_count,provenance_sha256,python_version,resolved_config_sha256,retired_lobe_count,run_id,seed,sinuosity_p95,source_count,source_unreachable_node_count,split_junction_count,split_merge_nodes_exceeding_tolerance,split_merge_region_count,stacked_segment_count,started_at_utc,status,temperature_monotonicity_violation_count,terminal_count,total_centerline_length_m,underpass_count,vertical_capture_count,vertically_overlapping_xy_passage_count,zero_flux_segment_count
9,10.633887362907208,99.37906672003761,9,10,0.6131836893071044,inflation=0.800,1,inflation,0.8,11,3,49,30.252804913994623,5,0,controllability,1,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,1.0,9,,,1.3730569144835683,0,1.0545102309339156,9,5434.617399673897,8.881784197001252e-16,2,1.452662589924559e-16,2.0,0.3754243912263331,3.9973199761717146,16,1,3.0,39,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,6,a4ea582cf2de48d09361c95d39f905f6864fae08f3efd88aeadcb8e209780cb9,3.13.5,a49ea58546275c437a2a2db80f238694d72944ae7b191d7ee900425fa90cc428,3,seed-000001-inflation-0.800,1,1.1293726346164472,8,0,13,0,16,6,2026-09-07T11:12:49.413469+00:00,complete,0,11,9271.748288912731,0,6,14,0
10,9.231269462176352,92.09745455995784,10,8,0.6232754696680779,supply=0.700,1,supply,0.7,12,3,52,23.372697796992725,5,0,controllability,1,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,0.8366600265340756,10,,,,0,1.0322131378648862,10,4361.2059663486825,8.881784197001252e-16,2,1.6641702587111434e-16,2.0,0.46975651331416196,4.503753166713383,16,1,3.0,41,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,3,a4ea582cf2de48d09361c95d39f905f6864fae08f3efd88aeadcb8e209780cb9,3.13.5,84698a1b8ab39ae21355534dfacd9ed42ac19f3e3898035cbb78c0059d0219b0,2,seed-000001-supply-0.700,1,1.234848424037304,8,0,14,0,17,3,2026-09-07T11:12:50.083069+00:00,complete,0,11,8440.541389212585,0,3,7,0
10,9.003231999039293,88.16163996849816,10,13,0.6497221649230207,supply=1.000,1,supply,1.0,13,3,52,28.08832407000591,5,0,controllability,1,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,1.0,10,,,,0,1.054220156988682,10,5420.501019985157,1.7763568394002505e-15,2,2.2204460492503126e-16,2.0,0.3551305453497115,3.5672346377107806,18,1,3.0,40,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,6,a4ea582cf2de48d09361c95d39f905f6864fae08f3efd88aeadcb8e209780cb9,3.13.5,b2fbc14729363b3eba396fd33ebdcd0a19c6055d1a9ea1837249e668636fac56,1,seed-000001-supply-1.000,1,1.15241366842196,8,0,14,0,19,4,2026-09-07T11:12:50.102086+00:00,complete,0,10,9391.938791997534,0,4,12,0
8,9.036158655625744,87.5694054058438,12,8,0.38244272250273015,supply=1.300,1,supply,1.3,10,3,55,34.0002080819977,5,0,controllability,1,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,1.140175425099138,12,,,,0,1.0549562700419477,12,6042.180706608916,8.881784197001252e-16,2,1.7619152606574959e-16,2.0,0.3596001551834196,3.621525028334221,16,1,3.0,46,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,4,a4ea582cf2de48d09361c95d39f905f6864fae08f3efd88aeadcb8e209780cb9,3.13.5,72e4b6223a7534a95dda43b487a2ba7baad1ad1c054b24437c904c570e193f5e,5,seed-000001-supply-1.300,1,1.128504708023161,8,0,15,0,16,6,2026-09-07T11:13:13.455916+00:00,complete,0,14,11955.34036359785,0,4,14,0
9,9.38741343065844,93.8741343065844,9,12,0.5971910936038702,distributary=0.200,1,distributary,0.2,13,2,54,28.28689421399031,5,0,controllability,1,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,1.0,9,,,,0,1.0302425684559222,9,5275.560873886051,8.881784197001252e-16,2,2.1442505272354787e-16,2.0,0.38281187685253903,3.555492558494784,17,1,3.0,42,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,6,a4ea582cf2de48d09361c95d39f905f6864fae08f3efd88aeadcb8e209780cb9,3.13.5,68572ac288d7ed20bf2bf1949089d1427418aeefd8df5c78a842a782233c3e26,1,seed-000002-distributary-0.200,2,1.150140350145824,8,0,14,0,18,6,2026-09-07T11:13:13.945098+00:00,complete,0,10,8895.722894025488,0,6,18,0
9,9.38741343065844,93.8741343065844,9,12,0.5971910936038702,distributary=0.500,1,distributary,0.5,13,2,54,28.297246125992388,5,0,controllability,1,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,1.0,9,,,,0,1.0302425684559222,9,5275.560873886051,8.881784197001252e-16,2,2.1442505272354787e-16,2.0,0.38281187685253903,3.555492558494784,17,1,3.0,42,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,6,a4ea582cf2de48d09361c95d39f905f6864fae08f3efd88aeadcb8e209780cb9,3.13.5,2298f161bc6eca97c3f8a9d2ddb6bf0c282e8bb4c386ba9d4d5950322f5463d9,1,seed-000002-distributary-0.500,2,1.150140350145824,8,0,14,0,18,6,2026-09-07T11:13:14.129785+00:00,complete,0,10,8895.722894025488,0,6,18,0
9,9.38741343065844,93.8741343065844,9,12,0.5971910936038702,distributary=0.800,1,distributary,0.8,13,2,54,28.33241790701868,5,0,controllability,1,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,1.0,9,,,,0,1.0302425684559222,9,5275.560873886051,8.881784197001252e-16,2,2.1442505272354787e-16,2.0,0.38281187685253903,3.555492558494784,17,1,3.0,42,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,6,a4ea582cf2de48d09361c95d39f905f6864fae08f3efd88aeadcb8e209780cb9,3.13.5,9bd2c96c750b9cceff66790b3f6fe92c4447324f00dbe238b82128fdfb987039,1,seed-000002-distributary-0.800,2,1.150140350145824,8,0,14,0,18,6,2026-09-07T11:13:17.862704+00:00,complete,0,10,8895.722894025488,0,6,18,0
12,11.21813409279953,90.92004476134369,15,14,0.5612194996037192,duration=0.500,1,duration,0.5,13,2,60,27.85034959600307,5,0,controllability,1,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,1.0,15,,,,0,1.057514835624976,15,2656.0191260748584,1.7763568394002505e-15,3,2.791382046070536e-16,2.0625,0.3978508001006888,3.8427247049529245,18,1,3.0,48,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,7,a4ea582cf2de48d09361c95d39f905f6864fae08f3efd88aeadcb8e209780cb9,3.13.5,2ef365dd84205f2f2647e0acaeee21d47ea7d0119a2bf562f994d6131b5a0ff0,6,seed-000002-duration-0.500,2,1.2488583777818245,8,0,16,0,20,7,2026-09-07T11:13:18.190563+00:00,complete,0,13,6437.216053950492,0,7,23,0
9,9.38741343065844,93.8741343065844,9,12,0.5971910936038702,duration=1.000,1,duration,1.0,13,2,54,28.403082870005164,5,0,controllability,1,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,1.0,9,,,,0,1.0302425684559222,9,5275.560873886051,8.881784197001252e-16,2,2.1442505272354787e-16,2.0,0.38281187685253903,3.555492558494784,17,1,3.0,42,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,6,a4ea582cf2de48d09361c95d39f905f6864fae08f3efd88aeadcb8e209780cb9,3.13.5,61d9106c5c3b498e53e0664147a0ebe10240b74581b66648cd57d60a37e84a68,1,seed-000002-duration-1.000,2,1.150140350145824,8,0,14,0,18,6,2026-09-07T11:13:19.666475+00:00,complete,0,10,8895.722894025488,0,6,18,0
10,9.17157952251322,86.58236623290179,12,9,0.5316620638528421,duration=1.500,1,duration,1.5,15,2,70,39.130222939973464,5,0,controllability,1,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,1.0,12,,,,0,1.0638949092808583,12,7584.839511868642,8.881784197001252e-16,2,2.3528510956127236e-16,2.0,0.32989891746688765,3.0539734839356463,21,1,3.0,56,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,5,a4ea582cf2de48d09361c95d39f905f6864fae08f3efd88aeadcb8e209780cb9,3.13.5,59d0a160fd4bedc59c243152bc0eed781670cac8bfdc29941dc2d0eabaa8fd0c,4,seed-000002-duration-1.500,2,1.2101316528541743,8,0,19,0,16,8,2026-09-07T11:13:42.232148+00:00,complete,0,13,13169.107442305174,0,7,19,0
